sample	Source	read length	N_reads	Total_TRs	Total_VNTRs	Total_multis (non-sex)	coverage	Sex	Population	Subpopulation	VNTRs	ref_TRs	TRs	sensitivity	detectable_VNTRs	detectable_refTRs	detectable_TRs	detectable_sensitivity	heterozygous_cnt	heterozygous_ratio
ABH100	SGDP	100	2374058952	148213	987	4	74.18934225	male	West Eurasia	AbkhAsia	983	147222	148205	0.774782263207971	743	146402	147145	0.957501496655301	446	0.453713123092574
ABH107	SGDP	100	2274881564	148033	943	6	71.090048875	male	West Eurasia	AbkhAsia	942	147084	148026	0.773846491640789	699	146259	146958	0.956284650823811	434	0.460721868365181
ALB212	SGDP	100	1144644504	143879	688	1	35.77014075	female	West Eurasia	Albanian	687	143182	143869	0.752114634630867	540	143172	143712	0.935162289492178	258	0.375545851528384
ALE14	SGDP	100	1453531262	145258	767	1	45.4228519375	female	Central Asia and Siberia	Tlingit	766	144479	145245	0.759308051817697	595	144465	145060	0.943933990994039	306	0.399477806788512
ALE20	SGDP	100	1164587046	144087	732	2	36.3933451875	female	Central Asia and Siberia	Aleut	731	143342	144073	0.753181100551007	578	143329	143907	0.936431192899347	281	0.384404924760602
ALE22	SGDP	100	1409599972	145675	744	1	44.049999125	male	Central Asia and Siberia	Aleut	743	144930	145673	0.761545539140345	578	144148	144726	0.941760587209454	289	0.388963660834455
ALE32	SGDP	100	1372877904	145504	753	3	42.9024345	male	Central Asia and Siberia	Tlingit	752	144748	145500	0.760641134217873	588	143986	144574	0.940771493271558	285	0.378989361702128
ALTAI363P	SGDP	100	2445681716	148090	973	8	76.427553625	male	Central Asia and Siberia	Altaian	970	147109	148079	0.774123563669061	706	146288	146994	0.956518909914365	433	0.44639175257732
ARMENIA293	SGDP	100	1210627712	145161	701	1	37.832116	male	West Eurasia	Armenian	700	144459	145159	0.75885846324352	553	143688	144241	0.938604596683932	279	0.398571428571429
ARMENIAN222	SGDP	100	1385643388	145887	763	1	43.301355875	male	West Eurasia	Armenian	762	145123	145885	0.762653827253432	593	144329	144922	0.943035997813582	304	0.398950131233596
AV-21	SGDP	100	1311122836	140530	642	2	40.972588625	female	West Eurasia	Crete	641	139875	140516	0.734585908012087	482	139864	140346	0.913259064525365	236	0.36817472698908
AYODO430C	SGDP	100	1166230562	144781	860	1	36.4447050625	male	Africa	Luo	859	143920	144779	0.756871909078553	685	143154	143839	0.935988703506078	368	0.428405122235157
AYODO502C	SGDP	100	1132119846	144220	898	1	35.3787451875	female	Africa	Luo	897	143312	144209	0.753892077831101	703	143295	143998	0.937023347822692	380	0.423634336677815
AYODO81S	SGDP	100	2.148e+09	146698	1041	3	67.125	female	Africa	Somali	1040	145641	146681	0.766815135451627	750	145607	146357	0.952373825450949	468	0.45
B11	SGDP	100	1586141406	146358	802	2	49.5669189375	male	South Asia	Brahmin	800	145554	146354	0.765105653314932	627	144775	145402	0.946159452354304	329	0.41125
B17	SGDP	100	1097647952	144229	696	2	34.3014985	male	South Asia	Brahmin	695	143531	144226	0.753980949991113	549	142774	143323	0.932630989874801	247	0.355395683453237
BISHKEK28439	SGDP	100	1186975020	143663	721	1	37.092969375	female	Central Asia and Siberia	Kyrgyz	720	142929	143649	0.750964524324833	555	142919	143474	0.933613576615737	265	0.368055555555556
BISHKEK28440	SGDP	100	1466503954	145262	766	0	45.8282485625	male	Central Asia and Siberia	Kyrgyz	765	144496	145261	0.759391696203591	594	143715	144309	0.939047086077201	306	0.4
BU16	SGDP	100	1801418352	146292	791	3	56.2943235	male	East Asia	Burmese	788	145498	146286	0.764750164674885	601	144707	145308	0.945547775840079	300	0.380710659898477
BU5	SGDP	100	1648959140	145905	775	1	51.529973125	male	East Asia	Burmese	774	145129	145903	0.762747927187562	597	144355	144952	0.943231213722377	300	0.387596899224806
BULGARIANB4	SGDP	100	2.148e+09	147652	933	5	67.125	male	West Eurasia	Bulgarian	927	146714	147641	0.77183379860523	709	145907	146616	0.954059189463547	432	0.466019417475728
BULGARIANC1	SGDP	100	2.148e+09	147821	905	2	67.125	male	West Eurasia	Bulgarian	904	146914	147818	0.772759114624175	659	146097	146756	0.954970197037924	380	0.420353982300885
CH113	SGDP	100	2798425984	148406	1014	9	87.450812	male	West Eurasia	Chechen	1012	147383	148395	0.775775540290455	757	146552	147309	0.958568676956714	470	0.464426877470356
CHI-007	SGDP	100	1557449640	146264	821	3	48.67030125	male	East Asia	Thai	820	145440	146260	0.764614242547808	635	144648	145283	0.945385095916083	332	0.404878048780488
CHI-034	SGDP	100	1395113600	144678	735	1	43.5973	female	East Asia	Thai	734	143932	144666	0.756281170603181	571	143920	144491	0.940231395923892	273	0.371934604904632
CHM1	Haploid	150	846060710	159738	1277	3	39.65909578125	female	Haploid	""	1118	158445	159563	0.83415932164403	902	158438	159340	0.939903732716719	0	0
CHM13	Haploid	250	1639433220	171437	2559	28	128.0807203125	female	Haploid	""	1977	168828	170805	0.892929958282363	1591	168813	170404	0.946441762428699	0	0
DNK05	SGDP	100	1401035110	145141	871	0	43.7823471875	male	Africa	Dinka	869	144270	145139	0.758753907761154	685	143512	144197	0.9383182800177	370	0.425776754890679
DNK07	SGDP	100	1451872516	139814	766	2	45.371016125	male	Africa	Dinka	765	139046	139811	0.73090032725866	604	138321	138925	0.904012337645436	326	0.426143790849673
DNK11	SGDP	100	1390072204	144436	827	0	43.439756375	male	Africa	Dinka	826	143609	144435	0.755073554781845	652	142849	143501	0.933789270933653	317	0.383777239709443
DUS16	SGDP	100	1531367144	144089	762	2	47.85522325	female	Oceania	Dusun	761	143317	144078	0.753207239421599	603	143308	143911	0.936457221687186	281	0.369250985545335
DUS22	SGDP	100	1589109622	145309	783	1	49.6596756875	female	Oceania	Dusun	782	144515	145297	0.759579896071851	604	144498	145102	0.944207293266352	295	0.377237851662404
ESK29	SGDP	100	1384025410	145211	752	2	43.2507940625	male	Central Asia and Siberia	Eskimo Chaplin	751	144457	145208	0.759114624175319	573	143684	144257	0.93870871183529	256	0.340878828229028
EST375	SGDP	100	1156681978	144994	713	4	36.1463118125	male	West Eurasia	Estonian	712	144277	144989	0.757969741643403	563	143522	144085	0.937589473958198	276	0.387640449438202
EST400	SGDP	100	1066563694	144622	694	1	33.3301154375	male	West Eurasia	Estonian	692	143927	144619	0.756035465219619	539	143186	143725	0.935246883052656	262	0.378612716763006
HC1187BLOOD	Cancer	100	1625827650	146794	991	1	50.8071140625	female	Europe	""	793	145793	146586	0.766318496910385	608	145743	146351	0.95233478226919	316	0.398486759142497
HC1187CANCER	Cancer	100	2147483647	146969	968	3	67.10886396875	female	Europe	""	741	145989	146730	0.767071296383426	534	145872	146406	0.952692678101981	155	0.209176788124157
